127.0.0.1 - - [15/Dec/2025 14:42:19] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/main.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/storage/history.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/ui/providers.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/storage/providers.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/ui/tabs.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/net/request.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/storage/settings.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/util/misc.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 14:45:49] "GET /app/providers.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2025 15:01:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:01:36] "GET /app/main.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/main.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/ui/providers.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/net/request.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/storage/settings.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/storage/providers.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/ui/tabs.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/storage/history.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/storage/presets.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/util/misc.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Dec/2025 15:02:40] "GET /app/providers.js HTTP/1.1" 200 -
